MSOA11CD,regionName,2021-12-04,2021-12-11,2021-12-18,2021-12-25,All Ages
E02000002,London,25,48,148,176,7726
E02000003,London,46,58,165,215,11246
E02000004,London,24,44,100,141,6646
E02000005,London,58,97,185,231,10540
E02000007,London,38,94,153,205,10076
E02000008,London,54,101,232,245,12777
E02000009,London,57,84,154,246,11850
E02000010,London,39,48,147,218,9141
E02000011,London,29,64,114,191,7014
E02000012,London,34,69,141,227,11375
E02000013,London,56,76,148,163,9009
E02000014,London,47,39,174,257,9966
E02000015,London,34,69,124,173,8250
E02000016,London,32,60,156,228,10320
E02000017,London,22,40,126,127,9455
E02000018,London,35,74,160,187,9724
E02000019,London,48,84,141,221,9208
E02000020,London,55,123,254,294,13669
E02000021,London,34,42,124,178,9022
E02000022,London,37,69,178,133,8030
E02000023,London,27,75,181,228,8053
E02000024,London,52,76,180,191,11094
E02000025,London,45,54,126,152,8395
E02000026,London,34,48,83,143,6641
E02000027,London,62,74,130,167,9625
E02000028,London,31,51,97,136,6839
E02000029,London,67,76,152,174,9535
E02000030,London,37,64,139,153,9339
E02000031,London,49,43,151,169,8131
E02000032,London,24,61,130,165,7702
E02000033,London,45,55,117,167,8986
E02000034,London,53,61,136,201,9383
E02000035,London,49,56,124,152,9073
E02000036,London,48,51,135,168,11670
E02000037,London,33,59,110,135,10678
E02000038,London,46,66,190,194,11450
E02000039,London,33,39,91,136,7203
E02000040,London,41,62,149,181,8498
E02000041,London,38,51,133,153,10086
E02000042,London,63,76,173,202,12306
E02000043,London,41,60,133,170,8324
E02000044,London,53,57,129,142,8883
E02000045,London,71,62,160,255,10995
E02000046,London,38,50,127,138,7699
E02000047,London,49,79,145,175,12519
E02000048,London,37,58,158,170,10830
E02000049,London,47,52,141,177,9571
E02000050,London,42,74,174,197,10902
E02000051,London,39,45,141,157,9982
E02000052,London,62,68,215,205,10671
E02000053,London,72,116,270,374,17653
E02000054,London,28,45,101,139,7655
E02000055,London,62,67,165,166,11941
E02000056,London,61,51,159,127,9652
E02000057,London,19,23,62,104,8324
E02000058,London,67,55,107,168,11013
E02000059,London,38,61,150,192,11901
E02000060,London,18,32,82,106,12446
E02000061,London,39,53,117,126,9286
E02000062,London,42,44,108,123,7064
E02000063,London,19,38,94,177,8013
E02000064,London,43,58,138,127,7049
E02000065,London,42,60,140,190,9081
E02000066,London,40,72,140,235,10135
