PLACE,E.01,E.11,E.21
Adur,0.10719450840068984,0.15195998392746174,0.21786223569579177
Allerdale,0.040739566569745644,0.06002580733054013,0.07628702932708675
Amber Valley,0.054007294531064454,0.08371266173752971,0.11054190635092741
Arun,0.08970862482823452,0.15932703488923478,0.20204235269046147
Ashfield,0.051984701936750644,0.094399842618272,0.1697467041555218
Ashford,0.11537320942519008,0.2054201822109154,0.31118847598318966
Babergh,0.07722334862952876,0.10436781272086393,0.13738173791844227
Barnsley,0.0501955537511869,0.09151443070137093,0.14421026820885596
Barrow-in-Furness,0.052087209757339235,0.07217964580360131,0.10298595710148692
Basildon,0.12378595136774857,0.2103010216480748,0.3252309862520861
Basingstoke and Deane,0.1439533023839577,0.23078307247899443,0.3231809628073265
Bassetlaw,0.06833742372700431,0.11979418793047171,0.15806157996441084
Bath and North East Somerset,0.12910272026462213,0.19817270005513254,0.26407869392208927
Bedford,0.3425563445780059,0.46524792859614633,0.5477520345118739
Birmingham,0.5170428452569285,0.6673842830669608,0.7463620470090511
Blaby,0.15716648360420413,0.21794357248588764,0.30639900271935616
Blackburn with Darwen,0.33645600548517635,0.44071003904084904,0.5058040955317203
Blackpool,0.0834090758693448,0.1367489724943405,0.1919095674734686
Blaenau Gwent,0.04765686861622558,0.06524078147869998,0.09407809043270703
Bolsover,0.046117145106641465,0.08533875913383303,0.13318782319480557
Bolton,0.22845971587402242,0.3431937962535638,0.4620801285787857
Boston,0.07400915609780878,0.22908987144444415,0.31028555126279944
"Bournemouth, Christchurch and Poole",0.12272761769786708,0.21973572369727226,0.2994377987804186
Bracknell Forest,0.1926150216573352,0.2815843388960789,0.3767976825302518
Bradford,0.3443737512443858,0.4735092236469494,0.5146206662081777
Braintree,0.09383052855466939,0.1456904673798524,0.1944276629408838
Breckland,0.10050821677486557,0.15826210465251328,0.19298907148060448
Brentwood,0.15641847244201065,0.2176355482064738,0.32056374458919185
Bridgend,0.07244781349802423,0.0941567532971066,0.12020629574119465
Brighton and Hove,0.23059638083716957,0.3409777821513663,0.4181547638856134
Bristol,0.24335167512165176,0.39668254105404077,0.4655198902236806
Broadland,0.06571822232705607,0.09554686365663015,0.13998483322348318
Bromsgrove,0.09903221924003613,0.14162723244486353,0.198679310583468
Broxbourne,0.19135534281355815,0.32808338953901944,0.48160563278971674
Broxtowe,0.15122410917462364,0.2158920051017544,0.2957856626315663
Buckinghamshire,0.23885003868767216,0.3402226753408119,0.4502618010998665
Burnley,0.1840977840266429,0.25134637996944675,0.33620536107413845
Bury,0.18703199472532203,0.27440246531916646,0.3681340667895563
Caerphilly,0.05429937936649247,0.06910415138374057,0.08903809763127263
Calderdale,0.1736048037387481,0.2336979705569371,0.2878472985699845
Cambridge,0.3579643118388257,0.4947088310954929,0.6168034362945394
Cannock Chase,0.06585455656291225,0.08640439975299015,0.12300931415779782
Canterbury,0.1559391401984616,0.23934526505381393,0.3161171191718355
Cardiff,0.24158114432619385,0.3663263605769904,0.4542733632572151
Carlisle,0.05594142797251894,0.10471717943244717,0.1454769838678826
Carmarthenshire,0.06626726904807295,0.09728068671624757,0.12364149508630003
Castle Point,0.08296214635773944,0.11139947634757832,0.16306084024075815
Central Bedfordshire,0.13183726779195884,0.21009307812586514,0.3022590815837557
Ceredigion,0.09453902975731672,0.1445475486673249,0.1642201997776011
Charnwood,0.20589712474790137,0.2833605682166483,0.3663546532638498
Chelmsford,0.13385177727783193,0.2022659317275845,0.3145037406656187
Cheltenham,0.1429788414578833,0.22266150477949487,0.29467626905900524
Cherwell,0.15884092946909809,0.25912886939186514,0.3663868305334734
Cheshire East,0.09150246890359306,0.1393949923266173,0.2040576761982176
Cheshire West and Chester,0.08469374071368561,0.11914634128976642,0.17977778275144363
Chesterfield,0.08105150779462156,0.12125194890302884,0.15388890796409424
Chichester,0.10028003768521626,0.14313295566968026,0.1886608304138551
Chorley,0.08884915194057708,0.11472981895667411,0.15330529897873718
Colchester,0.15389817614427503,0.2464674450135694,0.3468656216955524
Conwy,0.07657144573041215,0.10629556916890481,0.13041384890371274
Copeland,0.046506302426424055,0.06920389607748079,0.08125033734305079
Cornwall,0.06838508554927493,0.09336430185436075,0.13102827213689272
Cotswold,0.08837700084378203,0.11686960716485208,0.16040506472165134
County Durham,0.05164107616389615,0.08125879076701059,0.11683180351633975
Coventry,0.3647174608164958,0.525791037725662,0.6414794437025523
Craven,0.07234692030780314,0.10433536023687927,0.12412861868199951
Crawley,0.2851592920739531,0.4538129544094445,0.5645904111561686
Dacorum,0.17764709544364538,0.2725820282787449,0.3721535366414462
Darlington,0.08458851688782314,0.13517468519964712,0.19027836995475897
Dartford,0.17410137764055866,0.31794390191446437,0.5100100520471966
Denbighshire,0.07013311297145647,0.1043993876037609,0.12628565811084744
Derby,0.2852887510706368,0.4156066340870508,0.5179428156787383
Derbyshire Dales,0.05948647077483536,0.07618992417495597,0.10193943303304925
Doncaster,0.08690400200749826,0.16932785704184966,0.24073319858618028
Dorset,0.07669753290204322,0.09900931392975418,0.12908736539752463
Dover,0.08828064938548756,0.14280105658740758,0.1873987131226271
Dudley,0.16093050895823505,0.22742037611398763,0.3205788599455626
East Cambridgeshire,0.12959069519194466,0.18718303036576373,0.23537912650348414
East Devon,0.05827810415906285,0.08574401433308526,0.12293973233790134
East Hampshire,0.09730357581728356,0.1438181846790937,0.18406699145165
East Hertfordshire,0.14201586352391377,0.19339265279145107,0.27616680053762316
East Lindsey,0.05869686002874081,0.08021899403867556,0.09874739275586515
East Riding of Yorkshire,0.061819077058076204,0.08894058361009857,0.11586436479740879
East Staffordshire,0.15311067009263668,0.25172185919238743,0.3456439304265609
East Suffolk,0.08177137076376738,0.11782867431922892,0.1480878493586658
Eastbourne,0.1572887339284395,0.23489066859528385,0.3099733376824343
Eastleigh,0.1065335726585901,0.1725301394222419,0.2315168422888246
Eden,0.0397477998474727,0.06849650578937762,0.10828711142572447
Elmbridge,0.2682121351760743,0.33793325916617617,0.41465488974790565
Epping Forest,0.18260895719141337,0.2824592694646587,0.4163048735187143
Epsom and Ewell,0.27801205173718746,0.3753346447649233,0.49230460784825075
Erewash,0.08418656872168362,0.11108462739070483,0.15916076753000213
Exeter,0.11704275026074627,0.2260928663533015,0.30448752460271383
Fareham,0.08485140691744121,0.11990807821945346,0.15485891450937156
Fenland,0.0752156820604944,0.16563191675714115,0.21944533330757812
Flintshire,0.05759949695371357,0.0916655144844832,0.13388588354125353
Folkestone and Hythe,0.11784009101792399,0.18127369453834113,0.2279345706299104
Forest of Dean,0.05612711077509367,0.07764522157376114,0.11203324675693058
Fylde,0.08483506106396756,0.11234484252997633,0.14678778877902096
Gateshead,0.07649657435088558,0.13363781314349304,0.19807487663342227
Gedling,0.13710293111839417,0.2024337479152001,0.28111917164961003
Gloucester,0.20507602715667747,0.29135069719753715,0.380789997406606
Gosport,0.07819245717069903,0.1276199140903556,0.16250931132569812
Gravesham,0.22429377406645212,0.3789094388023708,0.4865966746396809
Great Yarmouth,0.07408128584193632,0.1455575819318639,0.20747985627959556
Guildford,0.18876457049627107,0.2952802265977187,0.3786603390895525
Gwynedd,0.08168238986778119,0.12576841339827252,0.14436702422828354
Halton,0.06168402783196908,0.0869418693362411,0.13687207226740217
Hambleton,0.05046535025816761,0.08402941052296867,0.09876208846868678
Harborough,0.09643244839427391,0.15127468707881203,0.2308789087174806
Harlow,0.17851336710433668,0.3058369889009258,0.44322395624236133
Harrogate,0.10757843953865287,0.16570060793615882,0.18413775971701343
Hart,0.12265649282447731,0.18643310861749626,0.245399766026173
Hartlepool,0.053878724843499176,0.08418797202625032,0.1171041384169033
Hastings,0.13223447709838518,0.21305930515450816,0.2737299254649372
Havant,0.07445767604919773,0.11032568136900973,0.14768963880991764
Herefordshire,0.059945776453057605,0.12013949711671824,0.161066992136471
Hertsmere,0.26319744090591585,0.40773564525132355,0.5448437583243482
High Peak,0.07506421712947271,0.0963865749639762,0.11502872683154927
Hinckley and Bosworth,0.0846461496282182,0.12002197969220733,0.18573441498788335
Horsham,0.1155923261762114,0.16109508086713278,0.22739241408544233
Huntingdonshire,0.1408807828476154,0.2059972325219581,0.2686428727399274
Hyndburn,0.1705537640264848,0.23476229719943872,0.294751751122118
Ipswich,0.19300851126722504,0.3123115820391598,0.41314824592377614
Isle of Anglesey,0.0664264818604089,0.08202312588173723,0.08550121830749599
Isle of Wight,0.07723755430361859,0.11472789193683469,0.1325697083213169
Isles of Scilly,0.056306407340532,0.09999815764370693,0.12339019918560098
King's Lynn and West Norfolk,0.08849948765015177,0.14865312484508456,0.19918780609941758
Kingston upon Hull,0.0906042061684271,0.20384187943679274,0.2772211520259838
Kirklees,0.2749118004099572,0.36779040045333566,0.43784656266556254
Knowsley,0.06818977072082827,0.09528704994349223,0.16269365496279348
Lancaster,0.10782676001416945,0.17146171458417292,0.23218431735360992
Leeds,0.22426189590383808,0.3535396119987493,0.4540106166834401
Leicester,0.47007643497586094,0.6375094674677066,0.6869973731758174
Lewes,0.10803246783402627,0.15408575063616123,0.21365638537126602
Lichfield,0.08293807815090967,0.12237100591827255,0.16897120184260261
Lincoln,0.10521115115206432,0.20036697200056533,0.2909408556481813
Liverpool,0.1794929383414223,0.2970312297720898,0.39822084348825026
London,0.6100752101568966,0.7531593974215429,0.8111732691073006
