SuperWEB2(tm)

"Descriptive - Census 1996-2011"
"South Africa by 2011 Municipal Boundaries by Education level (grouped)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Education level (grouped)","No schooling","Some primary","Complete primary","Some secondary","Grade 12/Std 10","Higher","Unspecified","Not applicable","Total",
"South Africa by 2011 Municipal Boundaries",
"EC101: Camdeboo",16694.272899,43061.496966,11158.60761,34320.579759,13689.634713,5879.519201,1411.4381,17375.289518,143590.838766,
"EC102: Blue Crane Route",15109.213717,34087.637351,8289.96099,24370.023176,8889.68965,3481.335116,1086.98596,10671.570559,105986.416519,
"EC103: Ikwezi",5122.649141,9831.976131,2388.008103,7367.481225,2208.971382,877.72538,216.04651,3409.396994,31422.254866,
"EC104: Makana",21831.314971,59637.856101,16761.277304,63936.009852,29522.503869,15080.64998,2426.52346,24151.188979,233347.324516,
"EC105: Ndlambe",21652.375594,48545.771359,10955.334249,38324.860017,16784.954239,8312.490302,2784.86733,15045.703958,162406.357048,
"EC106: Sundays River Valley",20219.513289,46866.206562,11318.251736,34539.383999,10343.588431,3054.772157,2190.94006,15422.27411,143954.930344,
"EC107: Baviaans",6253.657852,16634.542613,4762.18991,12869.060316,3516.48058,1459.934253,383.86474,5867.704254,51747.434518,
"EC108: Kouga",19979.942636,61599.041829,17790.014012,64414.709112,31610.918599,11409.635411,2547.69486,23835.986454,233187.942913,
"EC109: Kou-Kamma",9504.006088,33874.058679,9995.865388,26475.686524,8934.948959,2725.759826,548.63255,11247.085137,103306.043151,
"EC121: Mbhashe",184931.0357069,258198.5595058,44441.224095,137914.941126,26636.591615,13326.180961,4896.5229,104270.246598,774615.3025076,
"EC122: Mnquma",128672.025676,269066.7972388,56342.662318,193801.1964728,47104.661195,23309.426797,6147.91489,98204.287016,822648.9716036,
"EC123: Great Kei",27373.052066,36664.39146,8335.623478,27126.591477,7842.012738,2660.986902,1017.69499,12515.36883,123535.721941,
"EC124: Amahlathi",57659.53408,131553.579463,33701.826888,97858.386293,23265.161404,8369.663561,2631.47209,42103.407423,397143.031202,
"EC126: Ngqushwa",44641.064969,76893.554929,19799.366984,61791.000087,15723.234335,4641.224499,1774.11868,24479.622016,249743.186499,
"EC127: Nkonkobe",45102.63306,120678.281084,32984.832425,104522.790765,34782.251092,14246.806496,5091.78868,43740.858698,401150.2423,
"EC128: Nxuba",8360.877668,22997.167472,6315.472416,20277.265849,5384.613377,2320.567466,777.5391,7446.985422,73880.48877,
"EC131: Inxuba Yethemba",25469.881859,55401.028592,13466.86923,44341.249976,17172.759966,7548.087813,1286.80376,19108.93786,183795.619056,
"EC132: Tsolwana",19384.325319,34005.038687,6867.52221,20990.442266,5779.182955,2301.056114,775.10263,10819.441398,100922.111579,
"EC133: Inkwanca",10852.605264,21143.736539,4193.460491,12476.943339,3882.53188,1898.305219,428.39991,6764.30685,61640.289492,
