SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10101001: Ward 1",7542.781744,1342.945709,115.49976,5098.832431,0,7202.076233,21302.135877,
"10101002: Ward 2",7240.850248,1675.41254,180.68124,4991.167826,16.44,7114.574831,21219.126685,
"10101003: Ward 3",5283.268344,1648.655494,95.72203,3439.230012,0,5332.776255,15799.652135,
"10101004: Ward 4",8332.987448,1543.771989,58.60738,5545.620087,13.152,8254.949712,23749.088616,
"10101005: Ward 5",9256.553655,218.901601,23.97826,3723.900958,0,6329.509697,19552.844171,
"10101006: Ward 6",5964.578367,1027.796378,52.45446,4424.756616,1.096,6137.343194,17608.025015,
"10101007: Ward 7",8376.029325,784.052103,171.74938,5741.340735,3.288,7671.449186,22747.908729,
"10101008: Ward 8",7135.616011,1676.860808,601.81215,5698.410583,5.48,8154.261064,23272.440616,
"10102001: Ward 1",10960.257403,413.989295,50.53023,4699.173222,3.288,7495.727474,23622.965624,
"10102002: Ward 2",5967.201828,411.363644,12.07397,3959.177146,8.768,4927.506984,15286.091572,
"10102003: Ward 3",7539.2403,1322.023673,100.71442,4805.1685,9.864,7087.684919,20864.695812,
"10102004: Ward 4",9388.561105,684.680685,154.68751,5929.08813,7.672,8025.770498,24190.459928,
"10102005: Ward 5",5874.680066,1610.615846,135.24911,4947.138411,20.824,6393.372369,18981.879802,
"10102006: Ward 6",6960.946774,644.276082,202.0893,4125.826135,3.288,6149.244498,18085.670789,
"10103001: Ward 1",10120.613952,178.663072,33.31322,5408.566355,0,7578.005091,23319.16169,
"10103002: Ward 2",6523.715731,755.999855,55.48901,3539.751923,2.192,5563.896201,16441.04472,
"10103003: Ward 3",8634.306177,384.147421,22.42877,4144.847606,0,6375.205689,19560.935663,
"10103004: Ward 4",7801.899604,921.81004,111.80603,5887.167131,5.48,7805.218574,22533.381379,
