SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Education level (grouped)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Education level (grouped)","No schooling","Some primary","Complete primary","Some secondary","Grade 12/Std 10","Higher","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10101001: Ward 1",1826.91795,6009.778543,1832.984147,5902.856653,2419.068723,975.123344,83.31252,2252.093997,21302.135877,
"10101002: Ward 2",1626.5591,5591.521873,1704.438048,6238.743091,2413.492185,1139.914019,176.76531,2327.693059,21219.126685,
"10101003: Ward 3",1528.456137,4344.409803,1341.060337,4610.944069,1464.897041,591.222118,117.84395,1800.81868,15799.652135,
"10101004: Ward 4",2125.433678,6453.278595,2091.876675,6994.77682,2345.697407,532.97079,164.20758,3040.847071,23749.088616,
"10101005: Ward 5",1811.607949,5359.732202,1483.362035,4169.535749,2934.722243,1717.021224,147.3914,1929.471369,19552.844171,
"10101006: Ward 6",1540.252496,4794.175656,1430.110014,5623.096045,1905.424149,428.289333,76.2367,1810.440622,17608.025015,
"10101007: Ward 7",2206.047133,6087.119267,1745.27227,6400.54064,2644.661861,914.934861,264.4863,2484.846397,22747.908729,
"10101008: Ward 8",2679.185193,7065.133005,2191.473551,5954.85738,1930.903021,651.632187,172.09531,2627.160969,23272.440616,
"10102001: Ward 1",2851.103871,7498.971099,2147.245938,6050.504209,1623.622261,428.745067,480.54102,2542.232159,23622.965624,
"10102002: Ward 2",1021.494579,3360.432583,1100.837048,4547.599588,2311.749009,774.485453,174.26687,1995.226442,15286.091572,
"10102003: Ward 3",1950.064253,5342.665683,1693.385492,6029.276847,2362.77187,913.333277,325.05913,2248.13926,20864.695812,
"10102004: Ward 4",3035.712414,7716.161208,2462.2529,5519.04982,1930.23204,676.800812,124.57588,2725.674854,24190.459928,
"10102005: Ward 5",1118.534096,4607.251127,1666.47599,5664.462478,2672.62674,872.157897,343.01992,2037.351554,18981.879802,
"10102006: Ward 6",1996.276419,5946.583402,2055.160052,3994.954695,1445.162647,586.858674,194.5128,1866.1621,18085.670789,
"10103001: Ward 1",2214.174002,6353.369301,1543.995531,5369.514608,3321.333125,1414.274308,318.21172,2784.289095,23319.16169,
"10103002: Ward 2",2297.116942,5082.203242,1443.300725,4242.133388,1338.230424,212.456267,66.71289,1758.890842,16441.04472,
"10103003: Ward 3",1903.590274,5297.10377,1657.014723,4383.830997,2624.430235,1506.757072,150.23593,2037.972662,19560.935663,
"10103004: Ward 4",1626.004489,5998.963842,2179.192416,7108.158807,2285.731719,504.204788,167.95971,2663.165608,22533.381379,
"10103005: Ward 5",2207.865885,8465.000643,2978.811908,7634.724344,2584.017529,963.013386,199.44336,4390.627237,29423.504292,
"10103006: Ward 6",876.819643,2872.596135,825.270194,2146.757755,1196.947479,620.541045,45.23824,1152.895573,9737.066064,
"10103007: Ward 7",1250.606346,5313.218043,1780.459293,8286.110083,4308.355691,1421.274371,120.51659,2306.387204,24786.927621,
"10104001: Ward 1",1068.745355,4300.717696,1527.734643,7525.096302,2533.995925,316.562918,92.93311,2206.880745,19572.666694,
"10104002: Ward 2",1120.960813,5321.218916,1595.612852,6757.018666,1755.374603,278.918174,17.22472,2522.375055,19368.703799,
"10104003: Ward 3",644.622375,2962.240144,1039.586825,4319.144855,2455.642205,686.920906,218.14965,2901.207778,15227.514738,
"10104004: Ward 4",1387.029313,6131.954353,1938.482685,6862.759732,1816.040066,87.674726,106.81283,2465.757812,20796.511517,
"10104005: Ward 5",455.965083,1775.159395,547.443551,3650.789699,3638.732617,2242.835273,296.3268,1002.985228,13610.237646,
"10104006: Ward 6",605.943218,2388.491087,851.472325,3581.617716,4298.725686,2051.85646,208.3962,1234.444776,15220.947468,
"10104007: Ward 7",1659.785928,5604.874823,1882.964849,5254.401772,2265.74555,968.703081,85.54527,1817.396839,19539.418112,
"10104008: Ward 8",502.291883,2134.016651,405.260183,3998.480567,4286.350112,1832.843104,260.70632,1129.896188,14549.845008,
"10104009: Ward 9",609.435021,2422.350332,807.731886,4443.165534,1611.214718,157.735826,52.45998,1356.350359,11460.443656,
"10104010: Ward 10",1653.492344,5548.09539,1616.677438,6924.869742,4124.744986,1599.493764,431.65225,2502.354658,24401.380572,
"10104011: Ward 11",943.39206,3724.266266,1463.786234,4219.711649,2014.917061,858.353821,186.66392,1441.396592,14852.487603,
"10104012: Ward 12",977.677441,4181.025545,1580.198923,6181.967166,1533.090545,308.329602,24.7612,1976.599508,16763.64993,
"10104013: Ward 13",1355.987583,4226.027911,1594.114519,7136.826433,3215.961096,743.802881,360.26118,2131.461378,20764.442981,
"10105001: Ward 1",1634.836855,5343.618846,1399.069286,4723.51619,2670.924336,1470.440977,222.45683,5000.070918,22464.934238,
"10105002: Ward 2",1876.703851,5540.300553,1719.769793,5130.236436,2318.811771,1025.794696,178.31735,2012.594364,19802.528814,
"10105003: Ward 3",2244.425006,7015.356728,1793.236754,4671.91033,2211.438076,1127.390813,373.05823,2396.580727,21833.396664,
"10105004: Ward 4",2749.365217,6799.542644,2013.1181,5783.675271,2195.220632,741.257212,181.35202,3860.909808,24324.440904,
"10105005: Ward 5",1447.900198,4887.249836,1574.791081,4971.538407,2931.520384,1585.421228,142.21156,1737.733089,19278.365783,
"10105006: Ward 6",1614.785842,5263.144536,1367.600745,4328.639001,1584.238179,565.492828,25.98701,1928.344144,16678.232285,
"10105007: Ward 7",2542.849718,7962.547689,2218.550826,6781.259322,3496.831695,954.45918,123.16001,3911.049354,27990.707794,
"10105008: Ward 8",1283.67163,3902.5514,1256.652868,5571.546479,3677.989361,1565.852824,155.27285,2461.18886,19874.726272,
"10105009: Ward 9",973.063087,3733.061763,899.895711,5103.870888,1387.641035,85.838064,26.44864,1727.02785,13936.847038,
"10105010: Ward 10",786.931762,3132.488106,940.526215,5870.722032,5646.905965,3378.667544,278.7084,2186.467474,22221.417498,
"10105011: Ward 11",1488.023046,4949.504223,1632.451701,5908.217469,2288.308278,117.090684,87.5541,2064.531326,18535.680827,
"10105012: Ward 12",2911.769537,7596.344575,2196.099012,4975.74609,1906.704861,995.209931,152.22294,3502.570564,24236.66751,
"10202001: Ward 1",1673.924106,4330.100882,1219.262659,4696.16097,1240.913381,186.481707,16.67784,1649.755186,15013.276731,
"10202002: Ward 2",1867.277368,6841.731544,1841.045729,4885.708403,1787.806938,706.713514,86.88097,2021.451633,20038.616099,
"10202003: Ward 3",1807.571526,6764.206141,2031.927198,7213.845192,3080.068673,2313.590763,228.53371,2608.345157,26048.08836,
"10202004: Ward 4",1562.674481,4858.138894,1476.536667,5313.006095,2428.222638,708.84976,38.97116,1675.10934,18061.509035,
"10202005: Ward 5",2255.957915,6965.188025,1752.694879,6211.666065,3284.834649,2348.85618,228.88548,2646.977467,25695.06066,
"10202006: Ward 6",1954.808015,7518.282644,2393.619853,8568.349298,2651.874859,418.262237,103.5727,2893.40359,26502.173196,
"10202007: Ward 7",2391.540742,9511.384998,2461.252866,9181.88095,3358.80359,1207.687336,208.55347,3436.799471,31757.903423,
"10202008: Ward 8",2828.536565,6903.678328,2339.744431,6975.630188,1740.24413,415.179731,67.08798,1887.026279,23157.127632,
"10202009: Ward 9",2351.348267,6325.394845,2282.417892,6492.484398,1657.603274,605.157812,53.59164,1895.672944,21663.671072,
"10202010: Ward 10",2228.782113,7027.735129,2195.046718,5372.95463,1276.33814,300.861194,51.54522,2213.329497,20666.592641,
"10202011: Ward 11",3090.671687,8959.282446,2508.530398,7950.341782,2696.704511,1217.807881,176.21731,3584.428107,30183.984122,
"10202012: Ward 12",2708.188539,7252.620854,1894.334869,5696.011458,1624.156953,324.78049,190.0139,2940.59556,22630.702623,
"10203001: Ward 1",2553.92587,7459.371434,1973.040822,6025.861847,2042.36579,1140.000026,207.99794,2610.053181,24012.61691,
"10203002: Ward 2",403.084932,1477.320354,277.893752,2573.545572,4684.465551,3834.935966,141.13207,1212.258168,14604.636365,
"10203003: Ward 3",2942.093216,7992.859448,2315.623078,6993.718172,2112.92715,1114.407747,79.90163,2665.543075,26217.073516,
"10203004: Ward 4",496.945432,1711.302437,508.896396,3820.245128,4860.642254,5314.884871,668.63156,1885.812351,19267.360429,
"10203005: Ward 5",1122.131225,4919.993712,1385.657972,5760.779111,1514.788024,81.588581,36.18989,2092.524429,16913.652944,
"10203006: Ward 6",1538.461678,4548.010925,1339.583461,5666.830679,1795.860205,205.0416,65.66964,1863.04175,17022.499938,
"10203007: Ward 7",1172.893016,5253.179814,1564.859349,7230.385958,3302.098869,404.33527,214.32954,2145.69191,21287.773726,
