SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Population group"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Unspecified","Total",
"South Africa by 2011 Electoral Wards",
"10101001: Ward 1",1119.266794,16482.931856,52.334504,3605.625873,37.69705,4.2798,21302.135877,
"10101002: Ward 2",647.469705,15836.420405,60.910299,4571.635076,16.27,86.4212,21219.126685,
"10101003: Ward 3",3132.808225,11959.540413,44.924722,356.202175,223.9275,82.2491,15799.652135,
"10101004: Ward 4",726.417341,21502.020872,95.221868,897.662435,386.1675,141.5986,23749.088616,
"10101005: Ward 5",677.537046,11299.717218,78.004836,7411.227261,36.55421,49.8036,19552.844171,
"10101006: Ward 6",888.265517,13562.509293,65.39687,2997.533485,55.10205,39.2178,17608.025015,
"10101007: Ward 7",1039.085274,16599.936596,56.553932,4839.831337,101.45229,111.0493,22747.908729,
"10101008: Ward 8",1411.897073,18253.788089,51.153201,3426.472223,34.68933,94.4407,23272.440616,
"10102001: Ward 1",2067.592288,19702.898407,32.956465,1726.296724,15.69864,77.5231,23622.965624,
"10102002: Ward 2",880.734079,11171.452962,13.573954,3167.227997,40.81,12.29258,15286.091572,
"10102003: Ward 3",2928.452417,15101.763019,50.15052,2625.632906,52.34375,106.3532,20864.695812,
"10102004: Ward 4",2398.160103,18182.339596,73.875047,3421.785832,29.91535,84.384,24190.459928,
"10102005: Ward 5",1169.961875,14270.814187,26.805878,3412.766112,22.93875,78.593,18981.879802,
"10102006: Ward 6",1172.661654,14891.714465,21.32194,1963.85659,13.76614,22.35,18085.670789,
"10103001: Ward 1",2046.38951,14961.786018,76.821923,6184.215909,23.51023,26.4381,23319.16169,
"10103002: Ward 2",291.563648,15598.699147,31.173963,482.238462,27.6075,9.762,16441.04472,
"10103003: Ward 3",953.584623,12680.5345,52.880439,5665.783931,59.46307,148.6891,19560.935663,
"10103004: Ward 4",792.431488,20669.30676,50.823893,856.410288,41.34375,123.0652,22533.381379,
"10103005: Ward 5",3316.657522,23129.582675,41.141425,2878.12982,44.02695,13.9659,29423.504292,
"10103006: Ward 6",697.482674,5567.165244,25.76353,3427.973096,8.91682,9.7647,9737.066064,
"10103007: Ward 7",2091.160706,14597.80915,66.800836,7942.805629,64.4175,23.9338,24786.927621,
"10104001: Ward 1",8901.187858,10028.604452,244.907151,26.986833,105.295,265.6854,19572.666694,
"10104002: Ward 2",6374.756591,12621.760197,41.433226,192.716285,138.0375,0,19368.703799,
"10104003: Ward 3",3290.611609,9387.846108,174.18797,2186.723751,40.4725,147.6728,15227.514738,
"10104004: Ward 4",2304.507725,18237.886787,133.876939,20.604916,56.74875,42.8864,20796.511517,
"10104005: Ward 5",1009.700358,3285.758019,130.93248,9081.082839,50.61375,52.1502,13610.237646,
"10104006: Ward 6",820.347012,6296.192709,65.18776,7892.600487,116.565,30.0545,15220.947468,
"10104007: Ward 7",285.216475,15619.987855,45.896635,3505.262167,70.19148,12.8635,19539.418112,
"10104008: Ward 8",748.137598,4139.541215,65.944368,9493.360027,52.0125,50.8493,14549.845008,
"10104009: Ward 9",8206.142429,3117.491132,43.639044,21.648001,62.88375,8.6393,11460.443656,
"10104010: Ward 10",1152.967707,14974.778972,107.108031,7997.166412,73.08625,96.2732,24401.380572,
"10104011: Ward 11",1716.48222,9618.943886,14.711249,3419.927598,22.86341,59.55924,14852.487603,
"10104012: Ward 12",5185.687732,11460.920669,39.148282,26.451747,45.945,5.4965,16763.64993,
"10104013: Ward 13",907.645443,19390.015955,252.740686,57.544397,87.89,68.6065,20764.442981,
"10105001: Ward 1",3482.761254,12572.393589,65.820903,6306.010042,25.93875,12.0097,22464.934238,
"10105002: Ward 2",1034.983926,15289.935856,27.840288,3389.042844,37.7425,22.9834,19802.528814,
"10105003: Ward 3",2053.186587,16424.749457,38.535476,3256.828674,22.14137,37.9551,21833.396664,
"10105004: Ward 4",3614.306576,17971.034441,215.09353,2398.673047,90.92001,34.4133,24324.440904,
"10105005: Ward 5",1014.112712,14066.929245,47.813582,3953.291794,161.34265,34.8758,19278.365783,
"10105006: Ward 6",1502.354657,12948.824072,59.90208,2083.616336,77.04864,6.4865,16678.232285,
"10105007: Ward 7",3957.729208,20807.097994,135.280008,2977.321224,62.04876,51.2306,27990.707794,
"10105008: Ward 8",650.170725,12643.949666,70.111731,6177.38825,46.8775,286.2284,19874.726272,
"10105009: Ward 9",11850.560018,1949.2032,16.00046,4.91641,115.03125,1.1357,13936.847038,
"10105010: Ward 10",790.096067,11365.153017,214.277622,8988.814892,109.3625,753.7134,22221.417498,
"10105011: Ward 11",515.102396,17645.537904,90.908242,46.627135,47.54625,189.9589,18535.680827,
"10105012: Ward 12",2478.44638,18215.149602,76.084764,3324.598124,42.44114,99.9475,24236.66751,
"10202001: Ward 1",14347.995902,555.728399,8.80868,1.05,99.69375,0,15013.276731,
"10202002: Ward 2",1611.341756,16376.281677,42.978726,1798.03714,59.9657,150.0111,20038.616099,
"10202003: Ward 3",1192.617164,20107.877596,50.083543,4546.600497,100.01716,50.8924,26048.08836,
"10202004: Ward 4",337.896849,15593.31365,26.927514,1989.422832,113.94819,0,18061.509035,
"10202005: Ward 5",1473.499133,18470.610158,67.460388,5509.089131,136.62625,37.7756,25695.06066,
"10202006: Ward 6",424.807109,25800.152949,73.395631,177.898007,22.4725,3.447,26502.173196,
"10202007: Ward 7",3554.927406,24278.679882,74.18621,3377.535415,251.54161,221.0329,31757.903423,
"10202008: Ward 8",8988.735748,13080.213345,30.024365,996.315334,17.32194,44.5169,23157.127632,
"10202009: Ward 9",7409.254086,13014.546176,22.110488,1204.502942,6.77398,6.4834,21663.671072,
"10202010: Ward 10",4141.246758,15266.641482,5.15099,1207.391461,46.16195,0,20666.592641,
"10202011: Ward 11",5867.829631,20810.254067,35.156319,3230.660735,63.39557,176.6878,30183.984122,
"10202012: Ward 12",8182.342056,12957.960433,43.20898,1320.060744,61.35661,65.7738,22630.702623,
"10203001: Ward 1",3933.967028,16783.453341,46.389701,3094.8382,55.81514,98.1535,24012.61691,
